1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979
2.404609856,2.363877132,2.398103877,2.423513945,2.630663689,2.487586488,2.211265929,1.774024877,1.580047214,1.724598495,1.728004779,2.334095741
2.415175503,2.319577286,2.375414713,2.433285322,2.716140831,2.530969294,2.202722858,1.830176037,1.724337357,1.68765299,1.872898769,2.558402142
2.422648424,2.274556733,2.381565141,2.495139669,2.838121499,2.669543667,2.258426311,1.953389374,1.86993516,1.817662636,1.982681409,2.769185382
2.478590208,2.245863922,2.423785132,2.582802844,2.974234443,2.815923098,2.350251353,2.125460764,1.957792327,1.987546687,2.132627127,3.028374967
2.545913515,2.241360893,2.478302181,2.711171205,3.109867843,2.961676647,2.442272257,2.363275974,2.112064913,2.174211491,2.254540006,3.329299852
2.593685132,2.264377577,2.541394611,2.844281435,3.211585177,3.08583531,2.609695363,2.531791011,2.269882576,2.313492613,2.384694431,3.456321261
2.611423059,2.295297114,2.607212753,2.963496526,3.280154257,3.140893639,2.744367537,2.599405558,2.387277,2.435671042,2.504441631,3.456688046
2.583395518,2.343084335,2.661737056,3.054527223,3.298362996,3.148411074,2.749811376,2.619138614,2.489179605,2.567506523,2.624097296,3.297087917
2.523057888,2.403072806,2.716395605,3.098633099,3.274137513,3.120741843,2.758205515,2.598683894,2.599142735,2.667738106,2.750124594,3.048063382
2.432366493,2.476671602,2.74785038,3.104521635,3.184055141,3.093651461,2.743614197,2.554076755,2.588537019,2.741979688,2.839068001,2.784073992
2.378071947,2.54717288,2.750647501,3.061732803,3.076686314,3.120828366,2.729144522,2.50100859,2.577670208,2.790192971,2.883794637,2.655018551
2.33863591,2.603376863,2.73955073,2.96954798,2.962977802,3.085583924,2.758351488,2.568969626,2.625378197,2.808943551,2.876127519,2.671431249
2.353321226,2.653154625,2.700439818,2.854696182,2.860463932,2.977889194,2.769506708,2.657054731,2.746189872,2.805696045,2.810740129,2.714023703
2.338148233,2.691839598,2.670452279,2.720404642,2.775574594,3.015901921,2.76532821,2.754018554,2.747103431,2.78503357,2.751931712,2.705528979
2.356316361,2.700756773,2.621851053,2.596871143,2.710201893,3.005592318,2.723270605,2.773103037,2.718114238,2.772631751,2.639585458,2.567428113
